Date,App_Name,Category,Minutes_Used
2026-07-29,Instagram,Social Media,65
2026-07-29,YouTube,Entertainment,80
2026-07-29,VS Code,Coding,120
2026-07-29,Google Classroom,Education,45
2026-07-29,WhatsApp,Social Media,35
2026-07-30,Instagram,Social Media,90
2026-07-30,YouTube,Entertainment,95
2026-07-30,VS Code,Coding,110
2026-07-30,Google Classroom,Education,40
2026-07-30,WhatsApp,Social Media,30
2026-07-31,Instagram,Social Media,110
2026-07-31,YouTube,Entertainment,100
2026-07-31,VS Code,Coding,90
2026-07-31,Google Classroom,Education,55
2026-07-31,WhatsApp,Social Media,45
2026-08-01,Instagram,Social Media,130
2026-08-01,YouTube,Entertainment,120
2026-08-01,VS Code,Coding,75
2026-08-01,Google Classroom,Education,35
2026-08-01,WhatsApp,Social Media,50
2026-08-02,Instagram,Social Media,75
2026-08-02,YouTube,Entertainment,90
2026-08-02,VS Code,Coding,150
2026-08-02,Google Classroom,Education,60
2026-08-02,WhatsApp,Social Media,30
2026-08-03,Instagram,Social Media,95
2026-08-03,YouTube,Entertainment,70
2026-08-03,VS Code,Coding,135
2026-08-03,Google Classroom,Education,50
2026-08-03,WhatsApp,Social Media,35
2026-08-04,Instagram,Social Media,145
2026-08-04,YouTube,Entertainment,125
2026-08-04,VS Code,Coding,60
2026-08-04,Google Classroom,Education,35
2026-08-04,WhatsApp,Social Media,55
2026-08-05,Instagram,Social Media,120
2026-08-05,YouTube,Entertainment,105
2026-08-05,VS Code,Coding,125
2026-08-05,Google Classroom,Education,45
2026-08-05,WhatsApp,Social Media,40
2026-08-06,Instagram,Social Media,80
2026-08-06,YouTube,Entertainment,75
2026-08-06,VS Code,Coding,170
2026-08-06,Google Classroom,Education,65
2026-08-06,WhatsApp,Social Media,25
2026-08-07,Instagram,Social Media,100
2026-08-07,YouTube,Entertainment,110
2026-08-07,VS Code,Coding,140
2026-08-07,Google Classroom,Education,50
2026-08-07,WhatsApp,Social Media,40
2026-08-08,Instagram,Social Media,160
2026-08-08,YouTube,Entertainment,130
2026-08-08,VS Code,Coding,70
2026-08-08,Google Classroom,Education,30
2026-08-08,WhatsApp,Social Media,60
2026-08-09,Instagram,Social Media,70
2026-08-09,YouTube,Entertainment,60
2026-08-09,VS Code,Coding,180
2026-08-09,Google Classroom,Education,75
2026-08-09,WhatsApp,Social Media,25
2026-08-10,Instagram,Social Media,115
2026-08-10,YouTube,Entertainment,90
2026-08-10,VS Code,Coding,145
2026-08-10,Google Classroom,Education,55
2026-08-10,WhatsApp,Social Media,40
2026-08-11,Instagram,Social Media,135
2026-08-11,YouTube,Entertainment,105
2026-08-11,VS Code,Coding,120
2026-08-11,Google Classroom,Education,45
2026-08-11,WhatsApp,Social Media,50
